datetime,open,high,low,close,volume
,SQQQ,SQQQ,SQQQ,SQQQ,SQQQ
2021-03-18,340.25,356.25,337.0,354.75,4053128
2021-03-19,355.5,363.0,345.5,350.25,4780888
2021-03-22,342.75,342.75,324.25,331.25,3313688
2021-03-23,328.0,338.25,323.5,335.75,4058200
2021-03-24,331.0,353.25,331.0,352.5,3766032
2021-03-25,359.25,368.0,349.0,354.25,5574800
2021-03-26,355.25,360.25,337.5,338.25,4340308
2021-03-29,340.25,350.0,335.25,338.75,3755064
2021-03-30,345.25,353.0,342.0,343.75,2600116
2021-03-31,338.0,339.0,322.75,328.0,3226180
2021-04-01,316.0,316.75,310.75,311.0,2919040
2021-04-05,303.75,304.5,290.25,292.75,2774104
2021-04-06,293.5,295.25,287.75,293.5,2239848
2021-04-07,294.25,297.0,288.75,291.0,2203144
2021-04-08,283.25,285.5,281.5,281.75,2103792
2021-04-09,285.5,287.25,276.25,276.75,2947088
2021-04-12,279.25,282.75,276.75,278.0,1938872
2021-04-13,273.75,274.5,267.0,268.0,2333116
2021-04-14,267.5,279.75,267.25,277.75,2706996
2021-04-15,270.25,270.75,264.0,264.75,3028960
2021-04-16,264.25,268.5,263.5,264.0,1999800
2021-04-19,268.0,276.0,265.0,271.5,3195316
2021-04-20,272.75,282.25,269.75,277.25,2877744
2021-04-21,280.5,283.25,269.5,270.0,2551152
2021-04-22,271.0,282.75,268.5,279.75,4324064
2021-04-23,278.0,278.25,265.75,269.25,2432760
2021-04-26,268.5,270.5,263.25,263.75,2484876
2021-04-27,263.0,269.75,262.75,267.25,2425428
2021-04-28,268.0,271.75,265.75,270.25,1825132
2021-04-29,262.0,275.25,261.0,267.0,2672240
2021-04-30,273.25,274.75,267.0,272.25,2157892
2021-05-03,269.5,278.0,267.5,276.5,1817040
2021-05-04,283.25,301.5,282.25,291.5,5179052
2021-05-05,286.0,296.75,283.75,294.5,2480532
2021-05-06,295.5,301.5,287.5,288.0,3231272
2021-05-07,280.25,283.75,274.5,280.75,3031292
2021-05-10,284.25,302.5,284.0,302.0,2710724
2021-05-11,319.0,321.0,301.0,303.0,5185236
2021-05-12,317.5,329.25,310.75,326.5,6474776
2021-05-13,317.5,326.75,309.75,319.25,4697936
2021-05-14,309.25,311.0,295.25,298.25,3495000
2021-05-17,303.0,311.5,301.0,303.5,2759232
2021-05-18,300.5,310.5,297.25,309.5,2332948
2021-05-19,325.5,326.75,307.5,308.5,4450560
2021-05-20,304.25,304.75,288.0,290.5,3328852
2021-05-21,286.25,296.5,285.0,295.25,2420868
2021-05-24,289.0,290.0,277.25,280.25,2293960
2021-05-25,276.25,282.5,274.5,279.0,2203136
2021-05-26,277.75,279.5,275.0,276.25,1759152
2021-05-27,277.25,280.0,275.25,279.5,1772604
2021-05-28,276.25,277.5,272.75,276.75,1798548
2021-06-01,273.5,283.0,272.0,279.5,2367284
2021-06-02,278.5,282.25,275.75,278.0,1999524
2021-06-03,285.25,291.0,282.0,286.75,2541220
2021-06-04,281.75,282.0,270.75,271.75,3147884
2021-06-07,273.5,275.0,269.25,269.5,2062932
2021-06-08,265.0,273.25,262.75,269.25,2619888
2021-06-09,265.5,269.25,263.75,268.75,1671312
2021-06-10,268.0,269.25,260.0,260.25,3885124
2021-06-11,260.25,262.0,258.25,258.25,1576076
2021-06-14,257.5,260.25,251.0,251.0,1867852
2021-06-15,251.5,257.5,251.0,255.75,2261968
2021-06-16,254.75,266.75,252.25,258.75,4062332
2021-06-17,261.0,261.25,246.5,248.75,4112968
2021-06-18,252.25,256.25,249.75,254.5,3262736
2021-06-21,254.25,259.25,249.0,250.0,2444036
2021-06-22,250.25,251.0,241.75,243.0,2956380
2021-06-23,242.75,244.25,240.0,242.5,2088188
2021-06-24,238.25,239.5,234.75,238.0,2814876
2021-06-25,236.75,240.25,236.25,238.5,2367556
2021-06-28,236.25,236.25,229.75,230.0,2396108
2021-06-29,230.5,232.25,227.5,227.5,2068804
2021-06-30,228.0,229.75,227.25,228.5,1809556
2021-07-01,229.5,232.0,227.5,228.5,1873372
2021-07-02,224.75,225.25,220.0,220.5,2263404
2021-07-06,219.25,224.5,217.0,218.0,3761200
2021-07-07,213.5,220.0,213.0,216.25,3978756
2021-07-08,225.5,228.0,218.5,220.25,4410368
2021-07-09,221.5,222.5,215.25,216.0,2580784
2021-07-12,213.25,216.5,212.75,213.75,2094824
2021-07-13,214.25,215.0,208.0,213.75,4161372
2021-07-14,209.25,214.0,208.0,212.5,3883128
2021-07-15,212.5,220.5,212.25,216.75,4504420
2021-07-16,215.0,222.75,213.5,222.0,3304720
2021-07-19,228.75,232.5,226.5,227.5,5344548
2021-07-20,225.5,229.25,216.75,219.75,3698524
2021-07-21,220.5,220.75,214.5,214.5,2275708
2021-07-22,214.25,214.25,210.0,210.0,2474892
2021-07-23,207.75,210.0,202.25,203.0,3433376
2021-07-26,204.0,205.5,201.75,202.5,2352620
2021-07-27,202.75,216.25,202.75,209.0,5034244
2021-07-28,207.25,211.0,203.75,206.5,4180028
2021-07-29,207.5,207.5,203.5,205.25,2576224
2021-07-30,212.25,212.5,207.75,208.5,3202344
2021-08-02,205.75,209.75,204.75,208.5,2880688
2021-08-03,207.5,213.25,204.75,204.75,3286728
2021-08-04,205.0,206.75,202.25,203.75,2792828
2021-08-05,202.75,203.75,199.75,200.0,2174640
2021-08-06,202.0,204.5,200.5,202.5,2691004
2021-08-09,201.75,203.75,200.75,201.75,2661640
2021-08-10,200.75,206.75,200.25,204.75,3129292
2021-08-11,202.5,208.0,201.5,205.5,3130128
2021-08-12,206.5,209.0,202.75,203.25,2287328
2021-08-13,203.0,203.75,200.75,201.25,1836604
2021-08-16,203.25,209.75,201.0,201.0,3671864
2021-08-17,205.5,210.5,204.0,206.5,5813920
2021-08-18,207.5,213.0,204.75,212.5,4654996
2021-08-19,216.0,216.25,206.25,209.0,5269816
2021-08-20,207.5,208.0,202.0,202.5,3608136
2021-08-23,200.75,201.0,192.5,193.5,3660724
2021-08-24,192.5,193.5,190.75,191.75,2419520
2021-08-25,191.5,192.75,190.25,191.5,2483336
2021-08-26,192.5,195.5,191.25,194.75,3855324
2021-08-27,193.75,194.5,188.25,189.25,2964116
2021-08-30,188.0,188.0,182.0,182.5,3229752
2021-08-31,182.5,185.5,182.25,183.0,3121712
2021-09-01,181.5,182.5,179.25,182.25,3138908
2021-09-02,180.5,184.25,179.75,182.75,3426060
2021-09-03,184.0,184.25,180.25,180.75,2851476
2021-09-07,180.5,182.5,179.0,179.75,2619760
2021-09-08,180.5,185.25,180.25,182.0,3502200
2021-09-09,181.75,184.25,180.0,183.75,3637556
2021-09-10,181.25,188.5,180.0,188.25,3890208
2021-09-13,184.5,191.5,183.75,188.5,5409332
2021-09-14,186.0,191.5,184.75,190.0,4482080
2021-09-15,189.25,192.75,185.0,185.5,3567152
2021-09-16,187.5,190.75,184.5,185.5,3324008
2021-09-17,186.0,193.5,186.0,192.0,4647236
2021-09-20,200.75,211.25,198.25,203.75,6385724
